timestamp,price
2026-09-02T22:40:44.658419+02:00,1094.0390
2026-09-02T22:51:39.695863+02:00,1094.0390
2026-09-03T07:42:40.166988+02:00,1094.0390
2026-09-03T07:59:02.491667+02:00,1094.0390
2026-09-03T08:22:17.795769+02:00,1092.5105
2026-09-03T08:38:57.714926+02:00,1097.0105
2026-09-03T08:53:39.525588+02:00,1101.5105
2026-09-03T09:06:01.362399+02:00,1095.5105
2026-09-03T09:22:15.302386+02:00,1098.5105
2026-09-03T09:34:57.863627+02:00,1103.0105
2026-09-03T09:47:28.940823+02:00,1113.5105
2026-09-03T09:57:34.361906+02:00,1112.7585
2026-09-03T10:14:21.340350+02:00,1105.7585
2026-09-03T10:31:07.878679+02:00,1105.7585
2026-09-03T10:46:23.714490+02:00,1104.7585
2026-09-03T10:57:52.069549+02:00,1110.7585
2026-09-03T11:14:33.951590+02:00,1112.7585
2026-09-03T11:30:39.087660+02:00,1121.7585
2026-09-03T11:44:28.434503+02:00,1121.7585
2026-09-03T11:54:58.392832+02:00,1126.7585
2026-09-03T12:08:25.213350+02:00,1125.7585
2026-09-03T12:25:04.483559+02:00,1130.7585
