timestamp,price
2026-09-10T22:10:34.154098+02:00,133.5690
2026-09-10T22:15:36.718165+02:00,133.5690
2026-09-10T22:20:28.981985+02:00,133.5690
2026-09-10T22:25:25.039037+02:00,133.5690
2026-09-10T22:30:48.365452+02:00,133.5690
2026-09-10T22:35:27.841086+02:00,133.5690
2026-09-10T22:40:35.152548+02:00,133.5690
2026-09-10T22:45:32.728917+02:00,133.5690
2026-09-10T22:50:30.330830+02:00,133.5690
2026-09-10T22:55:34.106288+02:00,133.5690
2026-09-11T07:30:42.309115+02:00,133.5690
2026-09-11T07:35:26.721225+02:00,133.5690
2026-09-11T07:40:30.873196+02:00,133.5690
2026-09-11T07:45:30.700822+02:00,133.5690
2026-09-11T07:50:31.176804+02:00,133.5690
2026-09-11T07:55:26.371670+02:00,133.5690
2026-09-11T08:00:46.264841+02:00,133.5690
2026-09-11T08:05:27.463603+02:00,133.5690
